model,score_test,accuracy,balanced_accuracy,f1,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI_r138_BAG_L1,0.5684523809523809,0.6375,0.5669515669515669,0.7410714285714286,0.6492199272518169,f1_macro,0.04818463325500488,0.10801458358764648,10.751450300216675,0.04818463325500488,0.10801458358764648,10.751450300216675,1,True,84
CatBoost_r13_BAG_L2,0.5658822949040501,0.65625,0.565883190883191,0.7639484978540773,0.6647378463580554,f1_macro,0.7431313991546631,0.7072327136993408,62.672921895980835,0.011844158172607422,0.05775046348571777,14.724738597869873,2,True,108
LightGBM_r130_BAG_L2,0.5658822949040501,0.65625,0.565883190883191,0.7639484978540773,0.6990470449870669,f1_macro,0.7511732578277588,0.669212818145752,49.873188734054565,0.019886016845703125,0.019730567932128906,1.9250054359436035,2,True,114
LightGBM_r96_BAG_L2,0.5658822949040501,0.65625,0.565883190883191,0.7639484978540773,0.6824592128306757,f1_macro,0.7573974132537842,0.6759176254272461,51.79772233963013,0.026110172271728516,0.026435375213623047,3.849539041519165,2,True,102
ExtraTrees_r4_BAG_L1,0.563330499753926,0.61875,0.563034188034188,0.7188940092165899,0.6064160674482154,f1_macro,0.07612848281860352,0.05740475654602051,0.7047827243804932,0.07612848281860352,0.05740475654602051,0.7047827243804932,1,True,64
NeuralNetFastAI_r88_BAG_L1,0.5623590383415711,0.64375,0.5616096866096866,0.7510917030567685,0.647012492910311,f1_macro,0.041374921798706055,0.050881385803222656,3.9146928787231445,0.041374921798706055,0.050881385803222656,3.9146928787231445,1,True,66
CatBoost_r167_BAG_L2,0.561128526645768,0.65,0.5612535612535612,0.7586206896551724,0.6766775122367776,f1_macro,0.7427740097045898,0.6904776096343994,50.16066598892212,0.01148676872253418,0.04099535942077637,2.2124826908111572,2,True,129
LightGBM_BAG_L2,0.561128526645768,0.65,0.5612535612535612,0.7586206896551724,0.6938231469043653,f1_macro,0.7443838119506836,0.6672265529632568,49.80393624305725,0.01309657096862793,0.01774430274963379,1.855752944946289,2,True,87
NeuralNetFastAI_r37_BAG_L1,0.5594493116395495,0.65625,0.5608974358974359,0.7659574468085106,0.6486546309907026,f1_macro,0.058194875717163086,0.07645082473754883,5.046612024307251,0.058194875717163086,0.07645082473754883,5.046612024307251,1,True,51
CatBoost_BAG_L2,0.5594493116395495,0.65625,0.5608974358974359,0.7659574468085106,0.6788674518458927,f1_macro,0.7441878318786621,0.672752857208252,49.215266942977905,0.012900590896606445,0.023270606994628906,1.2670836448669434,2,True,90
ExtraTreesGini_BAG_L1,0.558742415885273,0.625,0.5576923076923077,0.7297297297297297,0.6262591532603352,f1_macro,0.10206770896911621,0.07253217697143555,0.7313101291656494,0.10206770896911621,0.07253217697143555,0.7313101291656494,1,True,6
ExtraTrees_r49_BAG_L1,0.558742415885273,0.625,0.5576923076923077,0.7297297297297297,0.6262591532603352,f1_macro,0.10219311714172363,0.08005523681640625,0.8165125846862793,0.10219311714172363,0.08005523681640625,0.8165125846862793,1,True,54
NeuralNetFastAI_r69_BAG_L1,0.556398657522253,0.64375,0.5566239316239316,0.7532467532467533,0.6521926757042306,f1_macro,0.04659080505371094,0.05875444412231445,3.831784963607788,0.04659080505371094,0.05875444412231445,3.831784963607788,1,True,82
NeuralNetTorch_r79_BAG_L2,0.5559183673469388,0.68125,0.5644586894586895,0.7918367346938775,0.6913564240691642,f1_macro,0.7874019145965576,0.7574763298034668,54.80708885192871,0.05611467361450195,0.10799407958984375,6.858905553817749,2,True,98
NeuralNetTorch_r30_BAG_L2,0.5559183673469388,0.68125,0.5644586894586895,0.7918367346938775,0.6947047209514501,f1_macro,0.8015539646148682,0.720954418182373,56.0375874042511,0.0702667236328125,0.07147216796875,8.089404106140137,2,True,113
ExtraTrees_r42_BAG_L1,0.5528397517881674,0.63125,0.5523504273504274,0.7400881057268722,0.6392133755646797,f1_macro,0.09817218780517578,0.06681084632873535,0.705956220626831,0.09817218780517578,0.06681084632873535,0.705956220626831,1,True,20
LightGBMXT_BAG_L2,0.5516908212560386,0.6375,0.551994301994302,0.7478260869565218,0.6939380196523054,f1_macro,0.7464699745178223,0.669090747833252,50.08208346366882,0.015182733535766602,0.019608497619628906,2.1339001655578613,2,True,86
XGBoost_r89_BAG_L2,0.5516908212560386,0.6375,0.551994301994302,0.7478260869565218,0.6992307727942801,f1_macro,0.7745504379272461,0.6726946830749512,49.99864482879639,0.04326319694519043,0.023212432861328125,2.050461530685425,2,True,112
CatBoost_r137_BAG_L2,0.5500961965369247,0.64375,0.5516381766381766,0.7553648068669528,0.6762722563282063,f1_macro,0.743340015411377,0.6697793006896973,48.630112409591675,0.012052774429321289,0.02029705047607422,0.6819291114807129,2,True,106
